Crop,Year,Production,State,Cost_A2_FL,Cost_C2,Cost_Prod_C2,Yield,Variety,Season_Duration,Recommended_Zone,Index
Maize,2006,198.8,Andhra Pradesh,25687.09,37801.85,840.58,42.68,PMH 4 (JH 31153),,"Punjab, Haryana, Delhi and western Uttar Pradesh under irrigated condition.",0.0
Maize,2006,198.8,Andhra Pradesh,25687.09,37801.85,840.58,42.68,PMH 5 (JH 3110),,"Rajasthan, Madhya Pradesh, Gujarat and Chhattisgarh in Kharif season under both irrigated and rainfed condition.",0.0
Ragi,2006,56.1,,0.0,0.0,0.0,0.0,,,,0.0
Small Millets,2006,53.9,,0.0,0.0,0.0,0.0,,,,0.0
Barley,2006,88.1,,0.0,0.0,0.0,0.0,BH-902,130,"Punjab, Haryana, Western Uttar Pradesh (Excluding Jhansi Division), Delhi, Rajasthan (Excluding Kota & Udaipur Divisions), Tarai Regions of Uttarakhand & Jammu and Kathua District of J & K under timely sown irrigated conditions.",0.0
Barley,2006,88.1,,0.0,0.0,0.0,0.0,DWRB 73,,"Punjab, Haryana, Western Uttar Pradesh, Delhi and Rajasthan (except Kota and Udaipur region) under irrigated late sown condition.",0.0
Barley,2006,88.1,,0.0,0.0,0.0,0.0,Pusa Losar  (BH- 380),190,"Himachal Pradesh, Uttarakhand, Jammu & Kashmir and North Eastern States under timely sown rainfed conditions.",0.0
Coarse Cereals,2006,138.5,,0.0,0.0,0.0,0.0,,,,110.0
Cereals,2006,164.1,,0.0,0.0,0.0,0.0,,,,0.0
Gram,2006,140.6,Rajasthan,8552.69,12610.85,1691.66,6.83,,,,0.0
Gram,2006,140.6,Madhya Pradesh,9803.89,16873.17,1551.94,10.29,,,,0.0
Gram,2006,140.6,Uttar Pradesh,12833.04,21618.43,1882.68,10.93,,,,0.0
Gram,2006,140.6,Maharashtra,12985.95,18679.33,2277.68,8.05,,,,0.0
Gram,2006,140.6,Andhra Pradesh,14421.98,26762.09,1559.04,16.69,,,,0.0
Arhar,2006,97.0,Uttar Pradesh,9794.05,23076.74,1941.55,9.83,,,,0.0
Arhar,2006,97.0,Karnataka,10593.15,16528.68,2172.46,7.47,,,,0.0
Arhar,2006,97.0,Gujarat,13468.82,19551.9,1898.3,9.59,,,,0.0
Arhar,2006,97.0,Andhra Pradesh,17051.66,24171.65,3670.54,6.42,,,,0.0
Arhar,2006,97.0,Maharashtra,17130.55,25270.26,2775.8,8.72,,,,0.0
Other Pulses,2006,139.1,,0.0,0.0,0.0,0.0,,,,0.0
Total Pulses,2006,130.3,,0.0,0.0,0.0,0.0,,,,0.0
Total Non-Food Grains,2006,155.4,,0.0,0.0,0.0,0.0,,,,0.0
Total Oilseeds,2006,148.2,,0.0,0.0,0.0,0.0,,,,0.0
Groundnut,2006,115.2,Karnataka,13647.1,17314.2,3484.01,4.71,Girnar - 3 (PBS 12160),108,"West Bengal, Orissa and Manipur under Kharif rainfed condition.",0.0
Groundnut,2006,115.2,Karnataka,13647.1,17314.2,3484.01,4.71,Kadiri Harithandhra (K 1319),122,Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.,0.0
Groundnut,2006,115.2,Karnataka,13647.1,17314.2,3484.01,4.71,GPBD 5,105-110,Jharkhand and Manipur in Kharif Season.,0.0
Groundnut,2006,115.2,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,Girnar - 3 (PBS 12160),108,"West Bengal, Orissa and Manipur under Kharif rainfed condition.",0.0
Groundnut,2006,115.2,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,Kadiri Harithandhra (K 1319),122,Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.,0.0
Groundnut,2006,115.2,Andhra Pradesh,21229.01,30434.61,2554.91,11.97,GPBD 5,105-110,Jharkhand and Manipur in Kharif Season.,0.0
Groundnut,2006,115.2,Tamil Nadu,22507.86,30393.66,2358.0,11.98,Girnar - 3 (PBS 12160),108,"West Bengal, Orissa and Manipur under Kharif rainfed condition.",0.0
Groundnut,2006,115.2,Tamil Nadu,22507.86,30393.66,2358.0,11.98,Kadiri Harithandhra (K 1319),122,Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.,0.0
Groundnut,2006,115.2,Tamil Nadu,22507.86,30393.66,2358.0,11.98,GPBD 5,105-110,Jharkhand and Manipur in Kharif Season.,0.0
Groundnut,2006,115.2,Gujarat,22951.28,30114.45,1918.92,13.45,Girnar - 3 (PBS 12160),108,"West Bengal, Orissa and Manipur under Kharif rainfed condition.",0.0
Groundnut,2006,115.2,Gujarat,22951.28,30114.45,1918.92,13.45,Kadiri Harithandhra (K 1319),122,Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.,0.0
Groundnut,2006,115.2,Gujarat,22951.28,30114.45,1918.92,13.45,GPBD 5,105-110,Jharkhand and Manipur in Kharif Season.,0.0
Groundnut,2006,115.2,Maharashtra,26078.66,32683.46,3207.35,9.33,Girnar - 3 (PBS 12160),108,"West Bengal, Orissa and Manipur under Kharif rainfed condition.",0.0
Groundnut,2006,115.2,Maharashtra,26078.66,32683.46,3207.35,9.33,Kadiri Harithandhra (K 1319),122,Karnataka and Maharashtra under timely sown irrigated condition in Rabi and Summer season.,0.0
Groundnut,2006,115.2,Maharashtra,26078.66,32683.46,3207.35,9.33,GPBD 5,105-110,Jharkhand and Manipur in Kharif Season.,0.0
Sesamum,2006,95.5,,0.0,0.0,0.0,0.0,,,,0.0
Rapeseed &Mustard,2006,138.7,,0.0,0.0,0.0,0.0,,,,0.0
Linseed,2006,55.9,,0.0,0.0,0.0,0.0,JLS-67 (Shival),114,"Bundelkhand part of Uttar Pradesh, Madhya Pradesh and Rajasthan under rainfed condition.",0.0
Linseed,2006,55.9,,0.0,0.0,0.0,0.0,Ruchi (LCK 5021),134,"Uttar Pradesh (except Bundelkhand), Bihar, Assam, West Bengal and Jharkhand under timely sown irrigated condition.",0.0
Linseed,2006,55.9,,0.0,0.0,0.0,0.0,JLS-73 (SLS-73),,"Madhya Pradesh, Rajasthan and Bundelkhand of Uttar Pradesh, north east and Central Maharashtra and North east part of Gujarat in Rabi season under irrigated condition.",0.0
Castor Seed,2006,124.7,,0.0,0.0,0.0,0.0,,,,0.0
Safflower,2006,67.3,,0.0,0.0,0.0,0.0,,,,0.0
Niger Seed,2006,65.1,,0.0,0.0,0.0,0.0,,,,0.0
Sunflower,2006,161.3,,0.0,0.0,0.0,0.0,,,,0.0
Soyabean,2006,253.2,,0.0,0.0,0.0,0.0,,,,0.0
Nine Oilseeds,2006,147.1,,0.0,0.0,0.0,0.0,,,,0.0
Coconut,2006,142.7,,0.0,0.0,0.0,0.0,,,,0.0
Cotton Seed,2006,186.1,,0.0,0.0,0.0,0.0,,,,0.0
Total Fibers,2006,186.1,,0.0,0.0,0.0,0.0,,,,0.0
Cotton(Lint),2006,213.1,,0.0,0.0,0.0,0.0,,,,0.0
Jute,2006,220.3,,0.0,0.0,0.0,0.0,SUDHANGSU (JBO-1),,"West Bengal, Assam, Bihar and Orissa.",0.0
Jute,2006,220.3,,0.0,0.0,0.0,0.0,ARPITA  (JBC-5),-,West Bengal and Assam under rainfed agro system.,0.0
Mesta,2006,81.7,,0.0,0.0,0.0,0.0,SNEHA  (JRM-3),-,Traditional Mesta Growing belt of the Country under rainfed conditions.,0.0
Mesta,2006,81.7,,0.0,0.0,0.0,0.0,SHRESTHA (JRM-5),-,"Andhra Pradesh, Orissa, Assam, Maharashtra, Bihar and West Bengal under rainfed conditions.",0.0
Jute & Mesta,2006,200.7,,0.0,0.0,0.0,0.0,,,,0.0
Sannhamp,2006,97.9,,0.0,0.0,0.0,0.0,,,,0.0
Tea,2006,132.2,,0.0,0.0,0.0,0.0,,,,0.0
Coffee,2006,138.0,,0.0,0.0,0.0,0.0,,,,0.0
Rubber,2006,215.5,,0.0,0.0,0.0,0.0,,,,0.0
Total Spices,2006,1427.7,,0.0,0.0,0.0,0.0,,,,0.0
Black Pepper,2006,134.2,,0.0,0.0,0.0,0.0,,,,0.0
Dry Chilies,2006,163.5,,0.0,0.0,0.0,0.0,,,,0.0
Dry Ginger,2006,206.3,,0.0,0.0,0.0,0.0,,,,0.0
Turmeric,2006,158.6,,0.0,0.0,0.0,0.0,,,,0.0
Arecanut,2006,182.5,,0.0,0.0,0.0,0.0,,,,0.0
Cardamom,2006,159.2,,0.0,0.0,0.0,0.0,,,,0.0
Coriander,2006,126.4,,0.0,0.0,0.0,0.0,,,,0.0
Garlic,2006,226.2,,0.0,0.0,0.0,0.0,,,,0.0
Total Fruits & Vegetables,2006,162.6,,0.0,0.0,0.0,0.0,,,,0.0
Potato,2006,135.7,,0.0,0.0,0.0,0.0,,,,0.0
Tapioca,2006,146.4,,0.0,0.0,0.0,0.0,,,,0.0
Sweet Potato,2006,81.1,,0.0,0.0,0.0,0.0,,,,0.0
Onion,2006,240.5,,0.0,0.0,0.0,0.0,,,,0.0
Banana,2006,189.3,,0.0,0.0,0.0,0.0,,,,0.0
Sugarcane,2006,149.8,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Karan 6 (Co 0239),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Karan 5 (Co 0124),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Uttar Pradesh,24538.32,45239.51,93.64,448.89,Co-0218,360,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh.",91.0
Sugarcane,2006,149.8,Karnataka,55655.44,86765.77,86.53,986.21,Karan 6 (Co 0239),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Karnataka,55655.44,86765.77,86.53,986.21,Karan 5 (Co 0124),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Karnataka,55655.44,86765.77,86.53,986.21,Co-0218,360,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh.",91.0
Sugarcane,2006,149.8,Andhra Pradesh,56621.16,91442.63,119.72,757.92,Karan 6 (Co 0239),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Andhra Pradesh,56621.16,91442.63,119.72,757.92,Karan 5 (Co 0124),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Andhra Pradesh,56621.16,91442.63,119.72,757.92,Co-0218,360,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh.",91.0
Sugarcane,2006,149.8,Maharashtra,57673.6,85801.95,107.56,744.01,Karan 6 (Co 0239),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Maharashtra,57673.6,85801.95,107.56,744.01,Karan 5 (Co 0124),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Maharashtra,57673.6,85801.95,107.56,744.01,Co-0218,360,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh.",91.0
Sugarcane,2006,149.8,Tamil Nadu,66335.06,89025.27,85.79,1015.45,Karan 6 (Co 0239),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Tamil Nadu,66335.06,89025.27,85.79,1015.45,Karan 5 (Co 0124),,"Punjab, Haryana, Rajasthan, Uttarakhand, Central and Western Uttar Pradesh.",91.0
Sugarcane,2006,149.8,Tamil Nadu,66335.06,89025.27,85.79,1015.45,Co-0218,360,"Tamil Nadu, Karnataka, Maharashtra, Kerala, Interior Andhra Pradesh.",91.0
Tobacco,2006,88.1,,0.0,0.0,0.0,0.0,,,,0.0
Total Foodgrains,2007,168.6,,0.0,0.0,0.0,0.0,,,,0.0
Rice,2007,207.9,,0.0,0.0,0.0,0.0,,,,105.0
Wheat,2007,136.4,Madhya Pradesh,12464.4,22489.75,810.25,23.59,MPO(JW)  1215 (MPO 1215),120,"Madhya Pradesh, Chhattisgarh, Gujarat and Rajasthan (Kota and Udaipur Division only) under timely sown irrigated condition.",115.0
Wheat,2007,136.4,Madhya Pradesh,12464.4,22489.75,810.25,23.59,MACS 6222,108,"Maharashtra, Karnataka, Andhra Pradesh and Tamil Nadu under timely sown irrigated condition.",115.0
